filename,oc_number,title,date,category,supersedes,superseded_by,local_path
UPI-OC-153---Guidelines-on-capturing-customer-location-on-UPI-Apps.pdf,153,UPI OC 153 Guidelines on capturing customer location on UPI Apps,,UPI,,,Data/raw_pdfs/upi/UPI-OC-153---Guidelines-on-capturing-customer-location-on-UPI-Apps.pdf
UPI-OC-154---Introduction-of-UPI-Plug-in-Service.pdf,154,UPI OC 154 Introduction of UPI Plug in Service,,UPI,,,Data/raw_pdfs/upi/UPI-OC-154---Introduction-of-UPI-Plug-in-Service.pdf
UPI-OC-155---Process-of-Handling-NPCI-compliance-penalty-wavier-request-for-UPI.pdf,155,UPI OC 155 Process of Handling NPCI compliance penalty wavier request for UPI,,UPI,,,Data/raw_pdfs/upi/UPI-OC-155---Process-of-Handling-NPCI-compliance-penalty-wavier-request-for-UPI.pdf
UPI-OC-156---Online-Business-Operations-–-Team-Structure.pdf,156,UPI OC 156 Online Business Operations – Team Structure,,UPI,,,Data/raw_pdfs/upi/UPI-OC-156---Online-Business-Operations-–-Team-Structure.pdf
UPI-OC-157---UPI-Raw-data-Version-3_0.pdf,157,UPI OC 157 UPI Raw data Version 3 0,,UPI,,,Data/raw_pdfs/upi/UPI-OC-157---UPI-Raw-data-Version-3_0.pdf
UPI-OC-159---Guidelines-on-volume-cap-for-Third-Party-App-Providers-(TPAPs)-in-UPI.pdf,159,UPI OC 159 Guidelines on volume cap for Third Party App Providers (TPAPs) in UPI,,UPI,,,Data/raw_pdfs/upi/UPI-OC-159---Guidelines-on-volume-cap-for-Third-Party-App-Providers-(TPAPs)-in-UPI.pdf
UPI-OC-160-–-Disabling-Interchange-fee-movement-in-dispute-&-adjustment-life-cycles.pdf,160,UPI OC 160 – Disabling Interchange fee movement in dispute & adjustment life cycles,,UPI,,,Data/raw_pdfs/upi/UPI-OC-160-–-Disabling-Interchange-fee-movement-in-dispute-&-adjustment-life-cycles.pdf
UPI-OC-161-–-Extension-to-UPI-Circular-No_-60-Crediting-Debiting-Non-Resident-accounts-in-UPI.pdf,161,UPI OC 161 – Extension to UPI Circular No 60 Crediting Debiting Non Resident accounts in UPI,,UPI,,,Data/raw_pdfs/upi/UPI-OC-161-–-Extension-to-UPI-Circular-No_-60-Crediting-Debiting-Non-Resident-accounts-in-UPI.pdf
"UPI-OC-168---Mandatory-measures-to-be-implemented-by-Bank,-PSPs-and-TPAPs-for-UPI.pdf",168,"UPI OC 168 Mandatory measures to be implemented by Bank, PSPs and TPAPs for UPI",,UPI,,,"Data/raw_pdfs/upi/UPI-OC-168---Mandatory-measures-to-be-implemented-by-Bank,-PSPs-and-TPAPs-for-UPI.pdf"
UPI-OC-169---Enhancement-in-UPI-LITE-transaction-limit-to-₹500.pdf,169,UPI OC 169 Enhancement in UPI LITE transaction limit to ₹500,,UPI,,,Data/raw_pdfs/upi/UPI-OC-169---Enhancement-in-UPI-LITE-transaction-limit-to-₹500.pdf
UPI-OC-170---RBI's-Digital-Rupee---CBDC-and-UPI-Interoperability.pdf,170,UPI OC 170 RBI's Digital Rupee CBDC and UPI Interoperability,,UPI,,,Data/raw_pdfs/upi/UPI-OC-170---RBI's-Digital-Rupee---CBDC-and-UPI-Interoperability.pdf
UPI-OC-171---Operating-Circular-for-Pre-Sanctioned-Credit-Lines-at-Banks-through-UPI.pdf,171,UPI OC 171 Operating Circular for Pre Sanctioned Credit Lines at Banks through UPI,,UPI,,,Data/raw_pdfs/upi/UPI-OC-171---Operating-Circular-for-Pre-Sanctioned-Credit-Lines-at-Banks-through-UPI.pdf
UPI-OC-172---Evidence-towords-UPI-dispute-on-Small-and-Offline-Merchants.pdf,172,UPI OC 172 Evidence towords UPI dispute on Small and Offline Merchants,,UPI,,,Data/raw_pdfs/upi/UPI-OC-172---Evidence-towords-UPI-dispute-on-Small-and-Offline-Merchants.pdf
UPI-_-OC-107-A-_-FY-23-24-_-NPCI-UPI-OC-107-A---Addendum-to-Circular-for-revision-of-RRN-in-UPI-to-avoid-duplicates.pdf,107A,UPI OC 107 A FY 23 24 NPCI UPI OC 107 A Addendum to Circular for revision of RRN in UPI to avoid duplicates,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-107-A-_-FY-23-24-_-NPCI-UPI-OC-107-A---Addendum-to-Circular-for-revision-of-RRN-in-UPI-to-avoid-duplicates.pdf
UPI-_-OC-141-_-FY-21-22-_-Safeguarding-users-on-UPI-(Updated-as-on-23rd-February-2026).pdf,141,UPI OC 141 FY 21 22 Safeguarding users on UPI (Updated as on 23rd February 2026),FY 21-22,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-141-_-FY-21-22-_-Safeguarding-users-on-UPI-(Updated-as-on-23rd-February-2026).pdf
UPI-_-OC-151A-_-FY-23-24-_-Enhancement-of-Limits-for-UPI-AutoPay.pdf,151A,UPI OC 151A FY 23 24 Enhancement of Limits for UPI AutoPay,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-151A-_-FY-23-24-_-Enhancement-of-Limits-for-UPI-AutoPay.pdf
UPI-_-OC-163A-_-FY23-24-_-Addendum-to-OC-163---Furthering-interoperability-in-the-UPI-ecosystem.pdf,163A,UPI OC 163A FY23 24 Addendum to OC 163 Furthering interoperability in the UPI ecosystem,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-163A-_-FY23-24-_-Addendum-to-OC-163---Furthering-interoperability-in-the-UPI-ecosystem.pdf
UPI-_-OC-165-_-FY-23-24-_-Implementation-of-advanced-refund-API-as-part-of-UPI-Help-(UDIR)-(Updated-as-on-23rd-February-2026).pdf,165,UPI OC 165 FY 23 24 Implementation of advanced refund API as part of UPI Help (UDIR) (Updated as on 23rd February 2026),FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-165-_-FY-23-24-_-Implementation-of-advanced-refund-API-as-part-of-UPI-Help-(UDIR)-(Updated-as-on-23rd-February-2026).pdf
UPI-_-OC-175-_-FY23-24-_-Guidelines-for-'Hello!-UPI'.pdf,175,UPI OC 175 FY23 24 Guidelines for 'Hello! UPI',FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-175-_-FY23-24-_-Guidelines-for-'Hello!-UPI'.pdf
UPI-_-OC-182-_-FY-23-24-_-User-Experience-Enhancement-for-UPI-AutoPay.pdf,182,UPI OC 182 FY 23 24 User Experience Enhancement for UPI AutoPay,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-182-_-FY-23-24-_-User-Experience-Enhancement-for-UPI-AutoPay.pdf
UPI-_-OC-183-_-FY-23-24-_-Enhancing-UPI-Payment-Experience.pdf,183,UPI OC 183 FY 23 24 Enhancing UPI Payment Experience,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-183-_-FY-23-24-_-Enhancing-UPI-Payment-Experience.pdf
UPI-_-OC-184-_-FY-23-24-_-Modification-in-UPI-Chargeback-Rules-and-Procedures_.pdf,184,UPI OC 184 FY 23 24 Modification in UPI Chargeback Rules and Procedures,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-184-_-FY-23-24-_-Modification-in-UPI-Chargeback-Rules-and-Procedures_.pdf
UPI-_-OC-185-_-FY-23-24-_-Implementation-of-Rs-5-Lakh-limit-per-transaction-for-specific-categories-in-UPI.pdf,185,UPI OC 185 FY 23 24 Implementation of Rs 5 Lakh limit per transaction for specific categories in UPI,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-185-_-FY-23-24-_-Implementation-of-Rs-5-Lakh-limit-per-transaction-for-specific-categories-in-UPI.pdf
UPI-_-OC-186-_-FY-23-24-_-Introduction-of-UPI-TAP-&-PAY-mode-of-Payments.pdf,186,UPI OC 186 FY 23 24 Introduction of UPI TAP & PAY mode of Payments,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-186-_-FY-23-24-_-Introduction-of-UPI-TAP-&-PAY-mode-of-Payments.pdf
UPI-_-OC-187-_-FY-23-24-_-UPI-reporting-requirements-(Acquiring-entities-&-UPI-Apps)-(Updated-as-on-23rd-February-2026).pdf,187,UPI OC 187 FY 23 24 UPI reporting requirements (Acquiring entities & UPI Apps) (Updated as on 23rd February 2026),FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-187-_-FY-23-24-_-UPI-reporting-requirements-(Acquiring-entities-&-UPI-Apps)-(Updated-as-on-23rd-February-2026).pdf
"UPI-_-OC-190-_-FY-23-24-_-Reiteration-of-compliance-to-OC-163,-OC-163A-and-OC-100.pdf",190,"UPI OC 190 FY 23 24 Reiteration of compliance to OC 163, OC 163A and OC 100",FY 23-24,UPI,,,"Data/raw_pdfs/upi/UPI-_-OC-190-_-FY-23-24-_-Reiteration-of-compliance-to-OC-163,-OC-163A-and-OC-100.pdf"
UPI-_-OC-192-_-FY-23-24-_-Implementation-of-maximum-UPI-inward-credit-limits-for-P2PM-merchants.pdf,192,UPI OC 192 FY 23 24 Implementation of maximum UPI inward credit limits for P2PM merchants,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-192-_-FY-23-24-_-Implementation-of-maximum-UPI-inward-credit-limits-for-P2PM-merchants.pdf
UPI-_-OC-193-_-FY-23-24-_-Compliance-to-UPI-Technical-specification-–-TRAN-ID.pdf,193,UPI OC 193 FY 23 24 Compliance to UPI Technical specification – TRAN ID,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-193-_-FY-23-24-_-Compliance-to-UPI-Technical-specification-–-TRAN-ID.pdf
UPI-_-OC-194-_-FY-23-24-_-Introduction-of-new-features-for-Credit-Accounts.pdf,194,UPI OC 194 FY 23 24 Introduction of new features for Credit Accounts,FY 23-24,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-194-_-FY-23-24-_-Introduction-of-new-features-for-Credit-Accounts.pdf
UPI-_-OC-204-_-FY-24-25-_-Enablement-of-Interoperable-Cash-Deposit-using-UPI-at-Cash-Deposit-_-Recycler-Machines.pdf,204,UPI OC 204 FY 24 25 Enablement of Interoperable Cash Deposit using UPI at Cash Deposit Recycler Machines,FY 24-25,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-204-_-FY-24-25-_-Enablement-of-Interoperable-Cash-Deposit-using-UPI-at-Cash-Deposit-_-Recycler-Machines.pdf
UPI-_-OC-226A-_-FY-26-27-_-Enhancement-of-Transaction-Limit-for-On-Device-Biometric-Authentication-in-UPI.pdf,226A,UPI OC 226A FY 26 27 Enhancement of Transaction Limit for On Device Biometric Authentication in UPI,FY 26-27,UPI,,,Data/raw_pdfs/upi/UPI-_-OC-226A-_-FY-26-27-_-Enhancement-of-Transaction-Limit-for-On-Device-Biometric-Authentication-in-UPI.pdf
